1	741735.0	1793.0	6700.0
2	1032215.0	1697.0	607.0
3	594056.0	1756.0	659.0
4	385055.0	1723.0	604.0
5	227538.0	1775.0	664.0
6	246427.0	1824.0	664.0
7	215189.0	1791.0	569.0
8	228212.0	1827.0	616.0
9	216554.0	1777.0	518.0
10	147968.0	1779.0	702.0
11	290573.0	1794.0	6689.0
12	772482.0	1760.0	598.0
13	347026.0	1744.0	524.0
14	109392.0	1814.0	617.0
15	160632.0	1754.0	739.0
16	243951.0	1767.0	636.0
17	32009.0	1814.0	1046.0
18	38278.0	1943.0	1009.0
19	54389.0	1797.0	704.0
20	9748.0	1802.0	615.0
21	11585.0	1811.0	829.0
22	16999.0	1700.0	708.0
23	13509.0	1787.0	643.0
24	7447.0	1724.0	668.0
25	7811.0	1781.0	596.0
26	27004.0	1733.0	1400.0
27	14652.0	1803.0	888.0
28	17377.0	1769.0	693.0
29	121122.0	1782.0	916.0
30	533436.0	1887.0	6660.0
