1	4520.0	226.0	2147.0	172.0	1144.0
2	4059.0	335.0	1986.0	60.0	280.0
3	4041.0	190.0	1164.0	0.0	79.0
4	4261.0	305.0	1817.0	0.0	16.0
5	2797.0	365.0	2535.0	0.0	196.0
6	2951.0	329.0	2154.0	0.0	119.0
7	2847.0	428.0	2329.0	12.0	8.0
8	1564.0	295.0	2198.0	161.0	21.0
9	2043.0	271.0	1908.0	71.0	1.0
10	1944.0	315.0	1969.0	30.0	45.0
11	1595.0	165.0	1409.0	47.0	200.0
12	2074.0	309.0	1945.0	29.0	203.0
13	1983.0	634.0	4181.0	69.0	146.0
14	1831.0	224.0	2197.0	156.0	1281.0
15	3005.0	222.0	2100.0	105.0	642.0
16	1489.0	322.0	2962.0	512.0	286.0
17	2007.0	334.0	2343.0	151.0	238.0
18	2009.0	479.0	9189.0	421.0	202.0
19	1510.0	297.0	2440.0	118.0	3.0
20	2553.0	452.0	3322.0	544.0	550.0
21	1125.0	467.0	3343.0	1189.0	459.0
22	2449.0	398.0	2918.0	455.0	777.0
23	2380.0	451.0	3325.0	287.0	888.0
24	1258.0	202.0	2171.0	498.0	615.0
25	1974.0	289.0	2646.0	334.0	438.0
26	1862.0	388.0	2898.0	240.0	319.0
27	1654.0	183.0	3305.0	190.0	429.0
28	1633.0	269.0	2588.0	128.0	688.0
29	1945.0	423.0	2732.0	98.0	913.0
30	1311.0	325.0	3088.0	215.0	1218.0
31	1666.0	596.0	5188.0	342.0	2370.0
32	1612.0	235.0	2449.0	104.0	998.0
33	1129.0	487.0	3146.0	121.0	531.0
34	1262.0	517.0	3320.0	25.0	758.0
35	1260.0	357.0	2640.0	15.0	714.0
36	40.0	615.0	3973.0	150.0	665.0
37	56.0	379.0	2591.0	81.0	467.0
38	70.0	306.0	2552.0	44.0	57.0
39	88.0	337.0	4006.0	144.0	719.0
40	88.0	545.0	3705.0	115.0	838.0
41	28.0	373.0	3155.0	86.0	707.0
42	164.0	389.0	3900.0	597.0	2275.0
43	60.0	561.0	4084.0	316.0	938.0
44	40.0	676.0	5304.0	219.0	1451.0
45	72.0	18923.0	29526.0	163.0	1925.0
46	130.0	16746.0	24631.0	348.0	2959.0
47	38.0	266.0	4488.0	107.0	1928.0
48	34.0	324.0	3765.0	68.0	876.0
49	16.0	473.0	4248.0	70.0	719.0
50	20.0	316.0	3812.0	42.0	1247.0
51	60.0	262.0	3570.0	39.0	681.0
52	10.0	64.0	1777.0	44.0	523.0
53	56.0	394.0	3604.0	93.0	544.0
54	30.0	662.0	4917.0	44.0	693.0
55	14.0	290.0	2180.0	81.0	632.0
56	59.0	444.0	3035.0	14.0	848.0
57	16.0	397.0	2969.0	26.0	849.0
58	20.0	142.0	1847.0	0.0	1058.0
59	24.0	405.0	3409.0	13.0	1328.0
60	42.0	298.0	3072.0	149.0	1441.0
