1	144.0	117.0	1037.0	26.0	184.0	0.0	0.0	1356.0
2	185.0	132.0	892.0	10.0	213.0	9.0	0.0	926.0
3	288.0	239.0	1509.0	12.0	216.0	6.0	0.0	1231.0
4	210.0	157.0	1193.0	18.0	224.0	3.0	0.0	1657.0
5	177.0	132.0	1136.0	18.0	286.0	6.0	0.0	1878.0
6	334.0	290.0	1075.0	14.0	160.0	3.0	0.0	380.0
7	443.0	399.0	1501.0	8.0	20.0	3.0	0.0	581.0
8	453.0	418.0	1703.0	8.0	6.0	0.0	0.0	559.0
9	398.0	355.0	2167.0	18.0	170.0	0.0	0.0	1267.0
10	286.0	246.0	1688.0	10.0	190.0	0.0	0.0	1492.0
11	301.0	268.0	1642.0	6.0	176.0	0.0	0.0	1182.0
12	446.0	424.0	2491.0	22.0	200.0	9.0	0.0	2834.0
13	152.0	123.0	906.0	12.0	178.0	6.0	0.0	981.0
14	256.0	220.0	1908.0	8.0	146.0	6.0	0.0	2278.0
15	508.0	1191.0	2417.0	22.0	66.0	0.0	0.0	911.0
16	250.0	235.0	1300.0	16.0	44.0	3.0	0.0	769.0
17	358.0	350.0	1406.0	2.0	24.0	0.0	0.0	509.0
18	601.0	578.0	2276.0	12.0	40.0	0.0	0.0	830.0
19	474.0	452.0	1983.0	16.0	30.0	3.0	0.0	1187.0
20	437.0	427.0	1712.0	10.0	100.0	9.0	0.0	1104.0
21	284.0	272.0	1769.0	10.0	20.0	3.0	0.0	1428.0
22	640.0	603.0	2519.0	14.0	42.0	0.0	0.0	773.0
23	311.0	290.0	1891.0	4.0	80.0	0.0	0.0	1073.0
24	220.0	210.0	1512.0	12.0	10.0	0.0	0.0	1503.0
25	246.0	239.0	1577.0	12.0	20.0	0.0	0.0	1482.0
26	265.0	246.0	1688.0	14.0	28.0	3.0	0.0	1859.0
27	242.0	226.0	1631.0	14.0	88.0	3.0	0.0	2181.0
28	90.0	70.0	792.0	12.0	56.0	3.0	0.0	972.0
29	276.0	270.0	1414.0	4.0	24.0	6.0	0.0	852.0
30	168.0	150.0	1227.0	14.0	32.0	3.0	0.0	1258.0
