1	1.0
2	0.4059609692591312
3	0.36715804777695843
4	0.15830632675197898
5	0.11797575044601326
6	0.03715648988418747
7	0.013204271337174344
8	0.0008997274961868718
9	0.0005210679794410141
10	0.0002446231614914977
11	0.0002446231614702366
12	0.0008800774789784262
13	0.00022790210728072937
14	3.7950449192583954e-05
15	3.796920096882133e-05
16	3.794699673655915e-05
17	0.0002251646713184937
18	3.794699602943113e-05
19	2.186743611963004e-12
20	8.280587280649485e-09
21	6.088276747137034e-09
22	6.089528953918282e-09
23	8.865882376633241e-10
24	6.087938904122633e-09
25	2.1938624834261565e-09
26	3.4318197993510285e-13
27	6.086712908007806e-09
28	5.2530269356443025e-18
29	3.429047413271556e-13
