168	0
161	1
1618	2
0	3
1633	4
22	5
5518	6
0	7
0	8
179	9
30	10
15	11
0	12
111	13
t
488	0
469	1
1907	2
0	3
309	4
10	5
4896	6
6	7
0	8
227	9
2	10
0	11
0	12
105	13
t
428	0
400	1
1665	2
0	3
340	4
2	5
4568	6
0	7
0	8
80	9
0	10
0	11
0	12
69	13
t
193	0
176	1
1274	2
0	3
996	4
12	5
3675	6
0	7
0	8
57	9
0	10
0	11
0	12
100	13
t
184	0
176	1
1464	2
0	3
1231	4
12	5
3775	6
6	7
0	8
252	9
0	10
0	11
0	12
90	13
t
222	0
206	1
2271	2
0	3
2416	4
8	5
3482	6
0	7
0	8
28	9
11	10
1	11
0	12
97	13
t
285	0
270	1
2393	2
0	3
2545	4
6	5
3188	6
0	7
0	8
97	9
60	10
36	11
0	12
77	13
t
64	0
57	1
833	2
0	3
1176	4
16	5
4238	6
6	7
0	8
190	9
0	10
0	11
0	12
67	13
t
142	0
136	1
1417	2
0	3
1796	4
10	5
4246	6
0	7
0	8
145	9
13	10
1	11
0	12
80	13
t
76	0
72	1
1709	2
0	3
2306	4
8	5
4184	6
3	7
0	8
109	9
1	10
0	11
0	12
260	13
t
168	0
161	1
2060	2
0	3
1946	4
16	5
4144	6
0	7
0	8
156	9
13	10
2	11
0	12
116	13
t
150	0
129	1
1503	2
0	3
1769	4
8	5
3646	6
0	7
0	8
130	9
60	10
35	11
0	12
111	13
t
205	0
202	1
1898	2
0	3
2359	4
10	5
3258	6
3	7
0	8
56	9
12	10
1	11
0	12
63	13
t
151	0
146	1
1814	2
0	3
2533	4
12	5
2868	6
0	7
0	8
14	9
1	10
0	11
0	12
118	13
t
248	0
233	1
1857	2
0	3
1787	4
8	5
2788	6
3	7
0	8
52	9
7	10
1	11
0	12
363	13
t
267	0
266	1
2263	2
0	3
2685	4
12	5
2652	6
3	7
0	8
73	9
169	10
188	11
0	12
170	13
t
284	0
277	1
1990	2
0	3
1837	4
6	5
2872	6
0	7
0	8
14	9
109	10
109	11
0	12
310	13
t
304	0
291	1
1913	2
0	3
1636	4
14	5
2862	6
0	7
0	8
0	9
0	10
0	11
0	12
69	13
t
201	0
177	1
2376	2
0	3
3026	4
12	5
2436	6
0	7
0	8
102	9
33	10
3	11
0	12
142	13
t
54	0
56	1
1120	2
0	3
1755	4
8	5
2322	6
0	7
0	8
112	9
14	10
4	11
0	12
59	13
t
110	0
96	1
1699	2
0	3
2456	4
16	5
2178	6
6	7
0	8
288	9
5	10
1	11
0	12
110	13
t
214	0
208	1
1855	2
0	3
2215	4
16	5
2231	6
6	7
0	8
463	9
33	10
432	11
0	12
115	13
t
168	0
165	1
1104	2
0	3
862	4
14	5
1701	6
6	7
0	8
330	9
0	10
0	11
0	12
109	13
t
310	0
301	1
1742	2
0	3
1263	4
12	5
2034	6
12	7
0	8
229	9
0	10
0	11
0	12
89	13
t
408	0
400	1
1793	2
0	3
745	4
8	5
2217	6
0	7
0	8
145	9
0	10
0	11
0	12
205	13
t
274	0
269	1
2124	2
0	3
2031	4
6	5
2067	6
0	7
0	8
90	9
0	10
0	11
0	12
344	13
t
314	0
304	1
1458	2
0	3
997	4
8	5
2346	6
0	7
0	8
116	9
0	10
0	11
0	12
70	13
t
180	0
166	1
1691	2
0	3
896	4
16	5
2158	6
0	7
0	8
82	9
0	10
0	11
0	12
434	13
t
216	0
204	1
1210	2
0	3
954	4
4	5
2124	6
6	7
0	8
72	9
0	10
0	11
0	12
93	13
t
