1	1494	5853007	2028
2	1484	4473185	1237
3	1476	5254913	970
4	1507	5862288	1044
5	1428	5419046	1285
6	1280	3970040	1230
7	1289	2320670	711
8	1306	2921121	569
9	1272	1611931	563
10	1280	1193676	983
11	1262	1683688	902
12	1250	865505	450
13	1240	960628	217
14	1308	815967	460
15	1228	1106745	901
16	1281	1508779	987
17	1243	1411693	418
18	1343	261474	352
19	1295	173534	851
20	1318	234219	252
21	1396	255927	502
22	1330	671169	570
23	1435	106167	291
24	1403	630853	582
25	1339	312863	332
26	1370	885002	311
27	1297	499395	238
28	1365	245833	381
29	1339	278099	234
30	1311	161907	198
31	1310	191439	236
32	1337	418277	174
33	1360	114752	172
34	1381	82280	232
35	1355	173113	191
36	1341	196979	166
37	1323	106308	159
38	1375	101350	343
39	1329	186407	517
40	1304	193653	350
41	1362	78136	223
42	1304	100304	174
43	1423	115907	298
44	1358	118622	450
45	1329	117784	583
46	1336	94007	210
47	1286	51502	243
48	1347	49033	702
49	1302	60566	739
50	1383	101077	348
51	1328	64068	383
52	1303	60851	320
53	1327	70374	406
54	1306	587827	354
55	1336	65973	444
56	1356	276824	751
57	1317	126564	795
58	1381	266994	834
59	1392	100965	478
60	1311	76569	663
61	1359	86886	559
62	1318	94574	837
63	1344	125454	283
64	1338	122000	723
65	1358	94904	778
66	1332	139519	238
67	1308	98972	426
68	1368	54450	581
69	1314	83202	321
70	1333	529836	217
71	1344	171797	534
72	1335	91659	335
73	1346	51851	202
74	1344	458284	336
75	1379	57049	412
76	1339	47908	755
77	1338	36641	176
78	1294	48255	152
79	1186	83005	705
80	1188	55196	202
81	1166	118937	226
82	1116	55375	228
83	1192	37938	124
84	1111	74286	270
85	1141	91357	214
86	1161	202877	446
87	1112	125959	332
88	1123	176645	1025
89	1090	190821	683
90	1102	170971	168
