#normally
1	14.22428877968802
2	
3	3.8716448940562453
4	2.418252071628507
5	3.1686450381568747
6	1.6370301048316673
7	2.3771217101948277
8	1.7054346813569852
9	2.4867002496081083
10	1.5368802574652198
11	1.8888599964761275
12	1.6380809334277562
13	2.9113377982514073
14	4.270456208847225
15	
16	
17	4.014815163225623
18	2.4072187105544876
19	2.3020889052420612
20	2.1558511063055863
21	2.8495240536318307
22	8.427277847330064
23	1.8679240143464355
24	2.3582393292567376
25	3.03512637447944
26	1.6867379129839948
27	1.0782128129919852
28	1.9988725467780226
29	1.8527191471262612
30	2.867886194625051


#anomaly
1	
2	17.10645586478643
3	
4	
5	
6	
7	
8	
9	
10	
11	
12	
13	
14	
15	21.59300971365534
16	21.965082431024648
17	
18	
19	
20	
21	
22	
23	
24	
25	
26	
27	
28	
29	
30	
