1	27309.0	3297.0	3372.0	3552.0	4018.0	6806.0	2494.0
2	707.0	96.0	208.0	0.0	0.0	57.0	99.0
3	717.0	42.0	59.0	195.0	45.0	27.0	90.0
4	734.0	73.0	16.0	2.0	444.0	12.0	96.0
5	2336.0	297.0	15.0	0.0	697.0	24.0	59.0
6	895.0	121.0	14.0	191.0	7.0	26.0	77.0
7	1190.0	106.0	94.0	41.0	612.0	175.0	203.0
8	1171.0	154.0	220.0	171.0	15.0	116.0	90.0
9	2253.0	223.0	44.0	199.0	834.0	36.0	256.0
10	1265.0	189.0	48.0	0.0	10.0	16.0	170.0
11	1705.0	227.0	169.0	0.0	155.0	90.0	180.0
12	2159.0	369.0	194.0	0.0	27.0	28.0	70.0
13	1454.0	224.0	143.0	0.0	27.0	54.0	240.0
14	1390.0	217.0	161.0	0.0	11.0	40.0	151.0
15	1025.0	153.0	127.0	0.0	6.0	22.0	57.0
16	1137.0	172.0	14.0	0.0	127.0	10.0	125.0
17	2636.0	387.0	242.0	0.0	724.0	141.0	163.0
18	2696.0	447.0	156.0	0.0	201.0	109.0	151.0
19	4547.0	585.0	322.0	95.0	1340.0	198.0	194.0
20	3847.0	522.0	268.0	1524.0	1318.0	54.0	103.0
21	2797.0	410.0	658.0	0.0	987.0	164.0	116.0
22	3679.0	442.0	330.0	0.0	1391.0	120.0	106.0
23	2659.0	346.0	237.0	52.0	973.0	135.0	102.0
24	2972.0	463.0	191.0	0.0	331.0	148.0	73.0
25	1561.0	199.0	44.0	0.0	592.0	32.0	76.0
26	2672.0	358.0	172.0	0.0	1209.0	136.0	98.0
27	2015.0	175.0	356.0	198.0	1061.0	70.0	86.0
28	1411.0	119.0	15.0	0.0	1067.0	22.0	114.0
29	3156.0	396.0	79.0	211.0	882.0	26.0	69.0
30	2444.0	261.0	87.0	0.0	1507.0	152.0	107.0
