#normally
1	3.541332601992183
2	5.325279143880718
3	
4	
5	
6	2.916261837304481
7	3.025172909925733
8	1.128745015493883
9	2.850961987557638
10	2.876687164180369
11	2.2345661631000397
12	
13	2.197185012045632
14	2.317300090824475
15	
16	
17	2.2484167025369235
18	2.236122397642645
19	2.9484072626808806
20	1.8402554764118588
21	3.261527798412413
22	3.990862709543628
23	2.3876071902459506
24	2.5069786169288917
25	2.6847538443292205
26	3.5423390634491247
27	2.964273663706078
28	2.1373745754044498
29	3.080592329315918
30	2.539702160585397


#anomaly
1	
2	
3	7.562069773811809
4	8.091671385728715
5	7.015536925783987
6	
7	
8	
9	
10	
11	
12	6.751320610149959
13	
14	
15	10.56208330467329
16	11.193391921729676
17	
18	
19	
20	
21	
22	
23	
24	
25	
26	
27	
28	
29	
30	


#threshold
5.437054968278537
