#normally
1	14.22428877968802
2	
3	2.010206733128266
4	3.176091898298314
5	3.169151070104689
6	2.1831570542516308
7	1.2332994926630272
8	1.1546737596590984
9	2.8810773210843243
10	2.959475208629189
11	1.6145303978722918
12	1.6380809334277562
13	2.6294335779275184
14	4.16857198071305
15	
16	
17	2.930963331710575
18	2.8909510496644826
19	2.5823711745530726
20	0.6996946459470744
21	4.056379279560444
22	11.180896055115635
23	2.413979166359086
24	2.2401494664783717
25	2.8265297736967026
26	3.169177623679825
27	1.3199340486289797
28	2.634256767732941
29	1.9157472999679002
30	1.4842865177429792


#anomaly
1	
2	17.10645586478643
3	
4	
5	
6	
7	
8	
9	
10	
11	
12	
13	
14	
15	23.120455741893387
16	22.93296460039086
17	
18	
19	
20	
21	
22	
23	
24	
25	
26	
27	
28	
29	
30	


#threshold
15.62042716192818
