#normally
1	3.541332601992183
2	5.325279143880718
3	
4	
5	
6	2.5085033564819126
7	2.4204766784097425
8	1.4163683829203177
9	2.1033549153276323
10	2.3331682491938865
11	1.8913199954045428
12	3.050167684440758
13	1.84279166467332
14	1.5911505409468547
15	
16	
17	1.3397563310541956
18	1.7291249620711588
19	2.380066687114202
20	1.2234120717184007
21	2.272184257582329
22	1.398615703362752
23	2.170432639710304
24	2.4487355540726923
25	1.543074460658391
26	2.2541786869974327
27	1.9301014969127015
28	2.2391882128046605
29	1.424338744460589
30	1.433685224074217


#anomaly
1	
2	
3	7.37530371653234
4	7.955644006993325
5	7.015536925783987
6	
7	
8	
9	
10	
11	
12	
13	
14	
15	10.565930644057147
16	11.145616155901942
17	
18	
19	
20	
21	
22	
23	
24	
25	
26	
27	
28	
29	
30	


#threshold
5.627791235263556
