#normally
1	2.244178335197188
2	2.512669310096832
3	3.268501939235179
4	3.1739023944068387
5	2.904105642860498
6	2.689143019478143
7	2.3993551902858696
8	4.384811195858644
9	2.4532266765679824
10	2.811200241520244
11	2.3173491636909094
12	2.8084589101293234
13	
14	4.3557623466669195
15	1.8423522053259855
16	
17	3.2723502549576096
18	5.3130663391770465
19	5.031507238408233
20	3.826469541613633
21	
22	3.3046794680131284
23	4.471590450810783
24	
25	3.96927810192443
26	4.910925029938222
27	
28	5.277270606324187
29	4.758047619718035
30	


#anomaly
1	
2	
3	
4	
5	
6	
7	
8	
9	
10	
11	
12	
13	6.543395308270017
14	
15	
16	6.422317715670634
17	
18	
19	
20	
21	6.661692162584821
22	
23	
24	5.9567641357508965
25	
26	
27	6.195149724953182
28	
29	
30	7.928591653689872


#threshold
5.627791235263556
