TCP,UDP,ARP,OTHER
32009,831,1814,215
38278,766,1944,243
54389,495,1798,209
9748,397,1803,218
11586,612,1811,217
17000,496,1700,212
13509,427,1788,216
7447,460,1725,208
7812,379,1781,217
27004,1176,1734,224
14652,665,1804,223
17377,475,1770,218
121122,714,1783,202
533436,6431,1887,230
